                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0042,                0.58648,                 1.0513,                0.61899,                0.75827,                0.70166,                0.48102,                0.92817,                0.55328,                 1.0648,             0.00073704,             0.00073704,             0.00073704
                     36,                0.98873,                0.57796,                 1.0424,                0.68852,                0.81121,                0.79854,                0.52273,                0.92663,                0.55898,                 1.0648,             0.00072604,             0.00072604,             0.00072604
                     37,                0.98422,                0.57074,                 1.0431,                0.76691,                 0.7732,                0.78908,                0.51916,                0.93025,                0.54757,                 1.0617,             0.00071504,             0.00071504,             0.00071504
                     38,                0.98678,                0.57296,                 1.0422,                0.70573,                0.72304,                 0.7162,                0.49539,                0.90643,                0.54884,                 1.0561,             0.00070404,             0.00070404,             0.00070404
                     39,                0.97381,                0.56574,                 1.0355,                0.79428,                0.78454,                0.80755,                0.52512,                0.90273,                0.54364,                 1.0561,             0.00069304,             0.00069304,             0.00069304
                     40,                0.97274,                0.56042,                 1.0345,                0.78608,                0.76433,                0.78506,                0.49676,                0.90075,                0.53684,                 1.0567,             0.00068204,             0.00068204,             0.00068204
                     41,                0.97304,                0.56716,                 1.0407,                0.83132,                0.69326,                 0.7872,                0.49713,                0.89693,                0.54056,                 1.0556,             0.00067104,             0.00067104,             0.00067104
                     42,                0.97261,                 0.5624,                 1.0334,                0.69224,                0.78236,                0.79515,                0.51089,                0.89361,                0.54503,                 1.0507,             0.00066005,             0.00066005,             0.00066005
                     43,                0.96973,                0.55592,                 1.0376,                 0.8508,                0.74044,                0.81122,                0.54858,                0.90592,                0.53358,                 1.0571,             0.00064905,             0.00064905,             0.00064905
                     44,                 0.9676,                 0.5558,                 1.0318,                0.78732,                 0.7023,                0.79216,                0.54122,                0.89007,                0.53504,                 1.0505,             0.00063805,             0.00063805,             0.00063805
                     45,                0.96461,                0.55353,                 1.0307,                0.85617,                 0.7613,                0.80275,                0.52185,                 0.9164,                0.54173,                 1.0628,             0.00062705,             0.00062705,             0.00062705
                     46,                0.94849,                0.54399,                 1.0227,                0.85354,                0.78432,                0.80618,                0.53346,                0.88326,                0.52623,                 1.0488,             0.00061605,             0.00061605,             0.00061605
                     47,                0.95739,                0.54368,                 1.0293,                 0.8576,                0.75696,                0.81022,                0.54976,                0.88344,                0.52873,                 1.0509,             0.00060505,             0.00060505,             0.00060505
                     48,                0.95051,                0.54172,                 1.0224,                0.84133,                0.71125,                0.79859,                0.54108,                0.88822,                0.52378,                 1.0544,             0.00059405,             0.00059405,             0.00059405
                     49,                0.94642,                 0.5433,                 1.0284,                0.77764,                  0.785,                0.81541,                0.54202,                0.87959,                0.52215,                 1.0464,             0.00058305,             0.00058305,             0.00058305
                     50,                0.93656,                0.53153,                 1.0156,                0.80776,                 0.7664,                0.80327,                0.53612,                0.88317,                0.52549,                 1.0483,             0.00057205,             0.00057205,             0.00057205
                     51,                0.94677,                0.54427,                 1.0183,                 0.8552,                0.74478,                0.81568,                 0.5496,                0.87355,                0.52003,                  1.043,             0.00056105,             0.00056105,             0.00056105
                     52,                0.94358,                0.54177,                 1.0255,                0.84007,                0.74764,                0.81266,                0.52486,                0.87582,                 0.5228,                 1.0425,             0.00055006,             0.00055006,             0.00055006
                     53,                0.94056,                0.54358,                  1.024,                 0.8501,                0.76281,                0.81563,                0.54739,                0.87698,                0.51584,                 1.0457,             0.00053906,             0.00053906,             0.00053906
                     54,                0.93347,                0.53035,                 1.0214,                0.85124,                0.72007,                0.82509,                0.55108,                0.88137,                0.51751,                 1.0468,             0.00052806,             0.00052806,             0.00052806
                     55,                 0.9371,                 0.5345,                 1.0203,                0.80481,                0.78163,                0.81005,                0.52355,                0.87284,                0.51411,                 1.0469,             0.00051706,             0.00051706,             0.00051706
                     56,                0.93022,                0.53143,                 1.0134,                0.88748,                0.73396,                0.79877,                0.51589,                 0.8825,                0.51396,                 1.0454,             0.00050606,             0.00050606,             0.00050606
                     57,                 0.9323,                0.52667,                 1.0194,                0.77362,                0.76603,                 0.8156,                0.53699,                0.86577,                0.51196,                 1.0398,             0.00049506,             0.00049506,             0.00049506
                     58,                 0.9291,                0.52957,                 1.0149,                0.81918,                0.75813,                0.81278,                0.55543,                0.86278,                0.51505,                 1.0378,             0.00048406,             0.00048406,             0.00048406
                     59,                0.92104,                0.52384,                  1.014,                0.86314,                0.71349,                0.80715,                 0.5387,                 0.8653,                0.50266,                 1.0407,             0.00047306,             0.00047306,             0.00047306
                     60,                0.92689,                0.52848,                  1.015,                0.81592,                0.72721,                0.81982,                0.54606,                0.87221,                0.50929,                 1.0427,             0.00046206,             0.00046206,             0.00046206
                     61,                0.91702,                0.52384,                 1.0102,                0.77662,                 0.7816,                0.81887,                0.56278,                0.86259,                0.50451,                 1.0404,             0.00045107,             0.00045107,             0.00045107
                     62,                0.91436,                0.51932,                 1.0115,                0.82321,                0.75452,                0.81294,                0.56065,                0.86106,                0.50757,                  1.038,             0.00044007,             0.00044007,             0.00044007
                     63,                0.91445,                0.51651,                 1.0116,                0.86201,                0.73454,                0.82232,                0.55853,                0.86443,                0.50754,                 1.0398,             0.00042907,             0.00042907,             0.00042907
                     64,                0.90816,                0.51795,                   1.01,                0.82429,                0.79487,                0.82625,                0.56532,                 0.8534,                0.50184,                 1.0364,             0.00041807,             0.00041807,             0.00041807
                     65,                0.90728,                0.51416,                 1.0097,                0.85243,                0.79682,                0.82748,                0.56318,                0.85162,                0.50372,                  1.034,             0.00040707,             0.00040707,             0.00040707
                     66,                0.90909,                0.51762,                 1.0087,                 0.8339,                0.78367,                0.82654,                0.56227,                0.85688,                 0.5044,                 1.0395,             0.00039607,             0.00039607,             0.00039607
                     67,                0.90289,                0.51439,                 1.0099,                0.78794,                0.78748,                0.81039,                0.53878,                0.85546,                0.49671,                 1.0377,             0.00038507,             0.00038507,             0.00038507
                     68,                0.91085,                0.51694,                   1.01,                 0.8105,                0.80033,                0.81633,                0.54378,                0.85789,                0.50064,                 1.0366,             0.00037407,             0.00037407,             0.00037407
                     69,                0.90193,                0.50861,                 1.0044,                 0.8251,                0.77953,                 0.8249,                0.56255,                0.85484,                0.49855,                 1.0357,             0.00036307,             0.00036307,             0.00036307
                     70,                0.89331,                0.50775,                 1.0032,                0.84194,                0.78809,                0.82671,                0.56856,                0.85494,                0.49967,                 1.0342,             0.00035208,             0.00035208,             0.00035208
                     71,                0.89768,                  0.503,                 1.0043,                  0.825,                0.77949,                 0.8261,                  0.566,                0.85148,                0.49734,                 1.0329,             0.00034108,             0.00034108,             0.00034108
                     72,                0.89514,                0.51112,                 1.0044,                0.86756,                0.69806,                0.81238,                0.53668,                0.85679,                0.49946,                  1.034,             0.00033008,             0.00033008,             0.00033008
                     73,                0.88837,                0.50755,                0.99759,                0.78876,                0.78951,                0.82195,                0.56323,                0.84735,                0.49517,                 1.0298,             0.00031908,             0.00031908,             0.00031908
